Antes (uW),Después (uW),Delta (uW),Antes (uW),Después (uW),Delta (uW)
-7.58,-5.5,2.08,-5.84,-7.78,-1.94
-6.12,-3.78,2.34,-5.12,-7.04,-1.92
-5.04,-2.76,2.28,-4.17,-6.48,-2.31
-5.43,-3.21,2.22,-5.22,-7.31,-2.09
-6.65,-4.72,1.93,-6.71,-8.54,-1.83
-7.75,-5.84,1.91,-8.35,-9.93,-1.58
,promedio (uW),2.1,,,-1.9
,std (uW),0.2,,,0.2
